transaction_id,product_id,customer_id,branch_id,transaction_date,quantity,total_amount,payment_method
6,45,429,10,2024-02-20,10,1510,Debit Card
9,49,826,9,2024-06-14,24,5880,Cash
13,39,305,5,2024-06-26,10,3430,Debit Card
16,64,179,3,2024-05-01,10,3800,Cash
24,7,856,8,2024-01-19,10,2880,Credit Card
27,97,557,1,2024-01-15,10,2250,Debit Card
34,97,7,2,2024-01-17,9,2025,Credit Card
49,23,234,5,2024-03-25,66,8910,Credit Card
52,59,945,8,2024-01-29,72,17280,Mobile Payment
56,57,146,7,2024-01-16,18,3582,Mobile Payment
58,3,714,3,2024-05-14,1,347,Cash
78,95,541,6,2024-05-02,80,28400,Debit Card
90,8,601,8,2024-04-10,45,1440,Debit Card
94,13,10,8,2024-02-21,94,5828,Credit Card
106,13,498,1,2024-04-26,18,1116,Mobile Payment
108,67,362,10,2024-05-07,24,8640,Mobile Payment
133,16,373,8,2024-03-25,7,3045,Cash
138,61,292,9,2024-02-15,66,9570,Cash
145,22,629,8,2024-03-23,54,25326,Cash
155,76,396,2,2024-01-29,48,11040,Credit Card
163,5,223,8,2024-06-17,27,9045,Mobile Payment
188,11,541,7,2024-03-03,81,1215,Cash
204,65,194,10,2024-03-26,64,6336,Debit Card
205,1,309,9,2024-04-03,28,5180,Mobile Payment
209,76,837,5,2024-05-03,5,1150,Credit Card
212,81,286,4,2024-02-01,9,2340,Debit Card
213,33,378,1,2024-02-28,4,56,Cash
240,21,926,8,2024-02-16,1,46,Debit Card
247,18,755,7,2024-06-24,81,39528,Credit Card
249,96,123,5,2024-05-27,54,4536,Credit Card
255,96,120,1,2024-04-12,15,1260,Credit Card
258,27,211,10,2024-02-06,10,340,Cash
263,48,792,1,2024-04-11,10,4950,Cash
272,48,329,7,2024-04-07,10,4950,Credit Card
311,34,563,5,2024-03-05,10,3680,Mobile Payment
314,91,531,1,2024-05-02,10,2190,Credit Card
316,85,170,10,2024-06-21,10,240,Mobile Payment
319,51,688,3,2024-03-08,10,2090,Mobile Payment
326,41,448,6,2024-05-06,10,1310,Credit Card
332,98,48,4,2024-02-20,10,2280,Debit Card
342,27,839,5,2024-04-29,10,340,Debit Card
345,26,139,6,2024-01-09,10,4830,Mobile Payment
349,11,897,9,2024-06-16,10,150,Cash
359,49,635,5,2024-03-10,10,2450,Credit Card
376,68,883,8,2024-06-16,10,1290,Credit Card
413,98,687,10,2024-02-16,10,2280,Debit Card
